	anger	contempt	disgust	fear	happiness	neutral	sadness	surprise
brh2003004002/PP	0.00422898075	0.004749097	0.000198250957	1.14216509e-05	0.0009383419	0.9740037	0.0157454945	0.000124736369
hec2009001608	0.06313015	0.00174217671	0.006778307	0.00313925138	0.000198427791	0.879964054	0.0128931664	0.0321544558
hec2009001603	0.00570579572	0.0003119077	6.920381e-05	1.98216912e-06	7.32285844e-05	0.993433952	0.000208286787	0.000195628891
hec2009001602	0.01562669	0.0013675536	0.00042821886	9.403545e-05	0.00025771698	0.9789888	0.00114083069	0.00209612469
hec2009001609	0.000117901371	0.002940549	0.000103999577	4.989133e-08	0.739199	0.257582068	4.20230754e-05	1.4412215e-05
96522077	4.53532856e-08	1.64371627e-07	2.70565e-07	2.34022113e-09	0.99996537	3.27249181e-05	2.95625213e-09	1.401095e-06
brh2003001778/PP	0.00248998543	0.00641909661	0.0002596003	2.5676618e-05	0.004124769	0.9816569	0.00476308074	0.000260893372
hec2009004073	0.00110264181	0.00999259	0.000452618231	8.607664e-05	0.00938386749	0.96698314	0.0114519959	0.000547097
hec2009004072	0.00308442721	0.007385804	0.00163295318	0.000380541343	0.008175402	0.966198742	0.0116719436	0.00147018011
hec2009004071	0.00179797877	0.0007515977	9.737901e-05	3.07747223e-06	0.000925693137	0.9957513	0.0003826621	0.000290276745
hec2009004070	2.40413956e-05	0.00375962583	6.31061e-05	6.272538e-07	0.35836032	0.6344167	0.00335568143	1.992429e-05
hec2009004077	0.000366929075	0.00719196862	0.0002650802	2.54810516e-07	0.06177028	0.930299044	5.151434e-05	5.49080069e-05
hec2009004076	0.0217863228	0.015274643	0.00175049249	0.000240376059	0.00391687546	0.9414672	0.01432851	0.00123555586
hec2009004075	0.0140966671	0.00264436938	9.918158e-05	9.287076e-07	3.404331e-05	0.9749403	0.008178172	6.363862e-06
hec2009004074	0.0012293295	0.0234648511	0.00102988386	6.3606305e-05	0.0146712326	0.9479835	0.0110066626	0.0005509554
hec2009004079	0.00277396454	0.0236883033	0.00157189136	4.38260759e-06	0.0245935842	0.94593	0.00118385837	0.000254007784
brh2003003070/PP	0.00185269443	0.0190699417	0.000425765873	0.00022890979	0.00119347742	0.97121197	0.00298584416	0.0030313665
cwp2003000437/PP	0.0007425548	0.00127342856	6.296511e-05	0.00016214147	0.0005309777	0.992374	0.00327169057	0.00158222206
cwp2003003983/PP	0.00337336259	0.00142523646	8.458137e-05	7.300537e-06	0.00189060008	0.9854326	0.00776530337	2.09694463e-05
brh2003002653/PP	2.91876058e-05	0.000244484138	2.866501e-06	2.50064289e-08	1.43447167e-07	0.9962803	0.00344054145	2.422313e-06
hec2009002646	0.03586133	0.0393628366	0.007847493	0.000807165459	0.017918041	0.8549732	0.0405972041	0.00263273553
cwp2003003580/PP	0.003858358	0.0004207446	3.80740676e-05	1.81974374e-05	1.32457244e-05	0.9932164	0.00238475366	5.025039e-05
det1994002981/PP	2.17073957e-05	0.00146824843	5.87114255e-06	5.826719e-08	0.318885237	0.6795849	1.27344711e-05	2.1211381e-05
hec2009004381	0.000223215378	0.000583243847	1.3600833e-05	4.16800549e-06	0.001662826	0.9969938	0.000362196151	0.000156986935
hec2009004380	0.0008948393	0.000364722044	1.10953333e-05	1.89429966e-06	1.97783629e-05	0.9980023	0.0006755143	2.98714731e-05
hec2009004385	0.00394631736	0.00214405777	0.00014520812	6.7091637e-06	0.00017220751	0.992053032	0.00146302138	6.945667e-05
hec2009004384	0.00142913556	0.00223939237	2.42787883e-05	1.19749259e-07	4.34180474e-05	0.995980144	0.0002743524	9.134115e-06
hec2009004387	0.000162634227	0.0006893111	0.000265900133	1.06037778e-05	0.740195036	0.256878257	0.00136541284	0.0004328731
hec2009004386	0.00216605887	0.00271735969	0.000303442881	2.02048454e-06	3.742789e-05	0.9899975	0.004700822	7.53658242e-05
brh2003002651/PP	0.008603917	0.013065381	0.003665659	0.000306264556	0.22142677	0.7301661	0.02196086	0.0008050941
brh2003004085/PP	0.000907072	0.00142399839	7.415032e-05	3.62815257e-07	0.0001286325	0.9959801	0.0014800491	5.626871e-06
cwp2003004119/PP	0.0191394314	0.0024703003	0.000107164335	2.55308751e-05	1.515866e-05	0.9684281	0.009774421	3.992069e-05
owi2001041097/PP	0.00183238217	0.0132330209	0.00318504265	0.000829520461	0.390183955	0.576406837	0.0112311048	0.00309814163
95504502	2.54608449e-06	7.72055646e-05	0.000752372551	9.789503e-10	0.9988476	0.0003172273	2.55410032e-06	4.690777e-07
brh2003003076/PP	0.0474518128	0.00283380528	0.004068478	0.000101587044	0.0119275348	0.9149006	0.0184712261	0.0002449627
cwp2003004377/PP	0.0179556422	0.007744781	0.00166600675	9.488886e-05	0.000254177081	0.916229546	0.05596829	8.666152e-05
cwp2003000439/PP	0.00100397121	0.00108446309	0.000334866636	2.24309338e-06	0.0242908	0.9724158	0.000716571754	0.000151283239
